key_a,key_b,clean_accuracy_permuted,clean_loss_permuted
100_2,90_4,71.03,1.4208596336364747
100_3,100_3,78.32,1.017331322002411
100_3,100_4,54.4,2.2166767585754394
100_3,110_1,0.96,4.657480620574951
100_3,110_2,63.76,1.8560270015716553
100_3,110_3,48.29,2.525186251449585
100_3,110_4,57.48,2.081188267326355
100_3,120_1,1.29,4.653006929016113
100_3,120_2,60.75,2.0013452226638795
100_3,120_3,62.62,1.9330783166885377
100_3,120_4,56.69,2.0835922801971436
100_3,130_1,1.42,4.748062831878662
100_3,130_2,59.76,1.9956319379806517
100_3,130_3,56.48,2.2145826274871827
100_3,130_4,58.09,2.0124945220947263
100_3,140_1,2.27,4.6860496925354
100_3,140_2,60.51,1.93581209564209
100_3,140_3,58.22,2.061185319709778
100_3,140_4,60.49,1.8980816719055176
100_3,150_1,2.34,4.669606178283692
100_3,150_2,59.97,1.9982086868286133
100_3,150_3,64.49,1.7855538606643677
100_3,150_4,60.93,1.8626534355163573
100_3,160_1,2.09,4.660584330749511
100_3,160_2,60.68,1.9640576808929444
100_3,160_3,64.29,1.825269818687439
100_3,160_4,63.48,1.7571976385116577
100_3,170_1,1.66,4.7281115524291994
100_3,170_2,62.97,1.9003279243469238
100_3,170_3,64.68,1.8110990083694458
100_3,170_4,63.93,1.7809323266983033
100_3,180_1,1.78,4.549826768493652
100_3,180_2,61.6,1.9375303771972656
100_3,180_3,54.07,2.278193350982666
100_3,180_4,54.33,2.297868712615967
100_3,190_1,5.39,4.499949630737305
100_3,190_2,59.83,2.0137750791549682
100_3,190_3,60.47,2.008342770767212
100_3,190_4,44.9,2.771673779296875
100_3,200_1,3.28,4.4978100738525395
100_3,200_2,62.51,1.9118547349929809
100_3,200_3,64.83,1.846325
100_3,200_4,33.81,3.3428586975097656
100_3,210_1,4.23,4.487521226501465
100_3,210_2,61.11,1.9737366445541382
100_3,210_3,64.71,1.858811632347107
100_3,210_4,21.51,3.864576025009155
100_3,220_1,4.53,4.478182735443116
100_3,220_2,61.77,1.9511318481445312
100_3,220_3,64.49,1.858809736251831
100_3,220_4,29.97,3.560443127822876
100_3,230_1,6.12,4.4201571594238285
100_3,230_2,63.81,1.85982937374115
100_3,230_3,64.3,1.8783290756225586
100_3,230_4,34.22,3.343444331741333
100_3,240_1,4.99,4.489193006896973
100_3,240_2,64.39,1.8348177297592163
100_3,240_3,65.04,1.8267140148162841
100_3,240_4,46.22,2.7479476154327394
100_3,250_1,4.08,4.5285274765014645
100_3,250_2,64.64,1.837170315170288
100_3,250_3,64.53,1.84113694896698
100_3,250_4,57.16,2.194869622039795
100_3,260_1,3.09,4.539960208129883
100_3,260_2,64.55,1.8414850143432617
100_3,260_3,62.96,1.9002116317749023
100_3,260_4,63.03,1.9085376903533935
100_3,270_1,11.08,4.2458672576904295
100_3,270_2,64.8,1.8306337898254395
100_3,270_3,63.98,1.8615358451843262
100_3,270_4,63.8,1.8550924016952515
100_3,280_1,63.69,1.8576515058517455
100_3,280_2,64.55,1.8246167785644531
100_3,280_3,64.85,1.8278778507232667
100_3,280_4,64.32,1.8382530548095704
100_3,290_1,64.45,1.8365577814102172
100_3,290_2,64.21,1.8466387046813966
100_3,290_3,64.62,1.8364910272598267
100_3,290_4,64.08,1.8445721740722656
100_3,300_1,64.26,1.851708785057068
100_3,300_2,64.8,1.8265979320526122
100_3,300_3,64.64,1.8344284837722777
100_3,300_4,64.34,1.848319437789917
100_3,50_1,1.0,7249.71336875
100_3,50_2,40.73,3.1101836963653566
100_3,50_3,22.91,3.8061653900146486
100_3,50_4,10.58,4.1953499908447265
100_3,60_1,1.0,298.22508442382815
100_3,60_2,42.88,3.0511933357238767
100_3,60_3,35.99,3.4050829624176027
100_3,60_4,19.82,3.83408201713562
100_3,70_1,0.97,44.38610650634766
100_3,70_2,49.41,2.677100462722778
100_3,70_3,44.29,3.1253199783325196
100_3,70_4,26.09,3.5462070362091063
100_3,80_1,1.0,42.437132055664065
100_3,80_2,54.26,2.450306284713745
100_3,80_3,49.06,2.727546483230591
100_3,80_4,37.67,3.0642587490081787
100_3,90_1,1.0,183.51562434082032
100_3,90_2,55.88,2.245586151504517
100_3,90_3,56.98,2.2149281581878664
100_3,90_4,47.59,2.5516844905853273
100_4,100_4,77.91,1.058524789905548
100_4,110_1,1.09,38.39037649536133
100_4,110_2,74.21,1.261804035282135
100_4,110_3,55.71,2.1442116943359375
100_4,110_4,78.08,1.0565374234199525
100_4,120_1,1.0,40.64224004516601
100_4,120_2,73.53,1.300146904850006
100_4,120_3,57.31,2.0593161434173584
100_4,120_4,77.1,1.10424916973114
100_4,130_1,1.09,4.693048318481445
100_4,130_2,72.73,1.3491413831710815
100_4,130_3,57.34,2.0318026847839357
100_4,130_4,76.94,1.1348892329216003
100_4,140_1,0.93,4.766131748962402
100_4,140_2,73.44,1.3422101222991942
100_4,140_3,64.41,1.7405533081054687
100_4,140_4,76.34,1.1660096225738525
100_4,150_1,1.49,4.690658261871338
100_4,150_2,73.36,1.328490037536621
100_4,150_3,64.61,1.7096104249954223
100_4,150_4,75.56,1.2115556562423706
100_4,160_1,1.48,4.652532804870606
100_4,160_2,72.93,1.3340609331130981
100_4,160_3,63.87,1.7324314903259277
100_4,160_4,73.2,1.3126113797187806
100_4,170_1,1.04,4.793809797668457
100_4,170_2,72.88,1.340322906970978
100_4,170_3,64.33,1.7390236921310425
100_4,170_4,67.8,1.5675650470733642
100_4,180_1,3.88,4.5773264579772945
100_4,180_2,72.93,1.3544688367843627
100_4,180_3,64.62,1.6948826910018921
100_4,180_4,48.84,2.4246545375823976
100_4,190_1,1.74,4.598943508148193
100_4,190_2,72.39,1.3766081944465638
100_4,190_3,63.95,1.735500528717041
100_4,190_4,26.78,3.4724067070007325
100_4,200_1,1.69,4.604088291931152
100_4,200_2,72.56,1.3739731889724731
100_4,200_3,63.67,1.7403634227752685
100_4,200_4,11.81,4.151665467834473
100_4,210_1,1.42,4.594179887390137
100_4,210_2,71.71,1.4140532344818115
100_4,210_3,67.29,1.615626520729065
100_4,210_4,6.74,4.3776087562561035
100_4,220_1,4.04,4.594747663879395
100_4,220_2,72.25,1.4119627027511596
100_4,220_3,66.89,1.6088214735031128
100_4,220_4,9.28,4.2438356361389165
100_4,230_1,1.66,4.592310701751709
100_4,230_2,70.16,1.4899202686309814
100_4,230_3,67.79,1.5890201368331909
100_4,230_4,13.02,4.0646155685424805
100_4,240_1,1.79,4.585398491668701
100_4,240_2,67.4,1.5869281681060792
100_4,240_3,68.12,1.5647036724090577
100_4,240_4,22.29,3.6266585121154784
100_4,250_1,2.76,4.591916914367676
100_4,250_2,67.09,1.5960262466430664
100_4,250_3,69.68,1.4923605424880981
100_4,250_4,44.51,2.600302510070801
100_4,260_1,2.47,4.595672590637207
100_4,260_2,67.02,1.5928653509140014
100_4,260_3,70.87,1.4325157403945923
100_4,260_4,60.01,1.882423836326599
100_4,270_1,4.41,4.487954838562012
100_4,270_2,68.55,1.5415304269790648
100_4,270_3,69.69,1.4874099191665648
100_4,270_4,65.1,1.665616477394104
100_4,280_1,70.45,1.456787049293518
100_4,280_2,68.68,1.5264811206817628
100_4,280_3,69.71,1.4942278612136841
100_4,280_4,67.87,1.5649793409347534
100_4,290_1,69.42,1.494076134300232
100_4,290_2,68.53,1.5334953256607056
100_4,290_3,68.54,1.5273340976715089
100_4,290_4,68.27,1.5440900442123413
100_4,300_1,68.9,1.5225033821105958
